,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
370,122900,아이마켓코리아,KOSPI,유통업,8550,-30,-0.35,302613057000,483.0,17.7,10185.0,0.84,600,7.02
371,016450,한세예스24홀딩스,KOSPI,섬유의복,7550,-60,-0.79,302000000000,513.0,14.72,6786.0,1.11,250,3.31
372,272550,삼양패키징,KOSPI,화학,21250,50,0.24,301958335000,1998.0,10.64,20142.0,1.06,750,3.53
373,002240,고려제강,KOSPI,철강금속,15050,-50,-0.33,301000000000,434.0,34.68,59916.0,0.25,350,2.33
374,037560,LG헬로비전,KOSPI,서비스업,3885,0,0.0,300881070525,,,12283.0,0.32,75,1.93
375,161000,애경유화,KOSPI,화학,9320,-190,-2.0,298612800000,966.0,9.65,11336.0,0.82,350,3.76
376,001570,금양,KOSPI,화학,6700,140,2.13,295122504500,,,1535.0,4.36,0,0.0
377,214330,금호에이치티,KOSPI,운수장비,2535,-45,-1.74,294600330180,,,2439.0,1.04,0,0.0
378,017940,E1,KOSPI,유통업,42800,-500,-1.15,293608000000,,,166288.0,0.26,2200,5.14
379,001520,동양,KOSPI,비금속광물,1230,15,1.23,293581397490,,,3428.0,0.36,40,3.25
